team_1,team_2,stage,match_date,kickoff_time,venue
Mexico,South Africa,Group A,2026-06-11,13:00:00,Mexico City
Korea Republic,Czechia,Group A,2026-06-11,20:00:00,Guadalajara
Canada,Bosnia and Herzegovina,Group B,2026-06-12,15:00:00,Toronto
USA,Paraguay,Group D,2026-06-12,18:00:00,Los Angeles
Haiti,Scotland,Group C,2026-06-13,21:00:00,Boston
Australia,Türkiye,Group D,2026-06-13,21:00:00,Vancouver
Brazil,Morocco,Group C,2026-06-13,18:00:00,New York/New Jersey
Qatar,Switzerland,Group B,2026-06-13,12:00:00,San Francisco
Côte d'Ivoire,Ecuador,Group E,2026-06-14,19:00:00,Philadelphia
Germany,Curaçao,Group E,2026-06-14,12:00:00,Houston
Netherlands,Japan,Group F,2026-06-14,15:00:00,Dallas
Sweden,Tunisia,Group F,2026-06-14,20:00:00,Monterrey
Saudi Arabia,Uruguay,Group H,2026-06-15,18:00:00,Miami
Spain,Cabo Verde,Group H,2026-06-15,12:00:00,Atlanta
IR Iran,New Zealand,Group G,2026-06-15,18:00:00,Los Angeles
Belgium,Egypt,Group G,2026-06-15,12:00:00,Seattle
France,Senegal,Group I,2026-06-16,15:00:00,New York/New Jersey
Iraq,Norway,Group I,2026-06-16,18:00:00,Boston
Argentina,Algeria,Group J,2026-06-16,20:00:00,Kansas City
Austria,Jordan,Group J,2026-06-16,21:00:00,San Francisco
Ghana,Panama,Group L,2026-06-17,19:00:00,Toronto
England,Croatia,Group L,2026-06-17,15:00:00,Dallas
Portugal,Congo DR,Group K,2026-06-17,12:00:00,Houston
Uzbekistan,Colombia,Group K,2026-06-17,20:00:00,Mexico City
Czechia,South Africa,Group A,2026-06-18,12:00:00,Atlanta
Switzerland,Bosnia and Herzegovina,Group B,2026-06-18,15:00:00,Los Angeles
Canada,Qatar,Group B,2026-06-18,18:00:00,Vancouver
Mexico,Korea Republic,Group A,2026-06-18,21:00:00,Guadalajara
Brazil,Haiti,Group C,2026-06-19,20:30:00,Philadelphia
Scotland,Morocco,Group C,2026-06-19,18:00:00,Boston
Türkiye,Paraguay,Group D,2026-06-19,20:00:00,San Francisco
USA,Australia,Group D,2026-06-19,12:00:00,Seattle
Germany,Côte d'Ivoire,Group E,2026-06-20,16:00:00,Toronto
Ecuador,Curaçao,Group E,2026-06-20,19:00:00,Kansas City
Netherlands,Sweden,Group F,2026-06-20,12:00:00,Houston
Tunisia,Japan,Group F,2026-06-20,22:00:00,Monterrey
Uruguay,Cabo Verde,Group H,2026-06-21,18:00:00,Miami
Spain,Saudi Arabia,Group H,2026-06-21,12:00:00,Atlanta
Belgium,IR Iran,Group G,2026-06-21,12:00:00,Los Angeles
New Zealand,Egypt,Group G,2026-06-21,18:00:00,Vancouver
Norway,Senegal,Group I,2026-06-22,20:00:00,New York/New Jersey
France,Iraq,Group I,2026-06-22,17:00:00,Philadelphia
Argentina,Austria,Group J,2026-06-22,12:00:00,Dallas
Jordan,Algeria,Group J,2026-06-22,20:00:00,San Francisco
England,Ghana,Group L,2026-06-23,16:00:00,Boston
Panama,Croatia,Group L,2026-06-23,19:00:00,Toronto
Portugal,Uzbekistan,Group K,2026-06-23,12:00:00,Houston
Colombia,Congo DR,Group K,2026-06-23,20:00:00,Guadalajara
Scotland,Brazil,Group C,2026-06-24,18:00:00,Miami
Morocco,Haiti,Group C,2026-06-24,18:00:00,Atlanta
Switzerland,Canada,Group B,2026-06-24,12:00:00,Vancouver
Bosnia and Herzegovina,Qatar,Group B,2026-06-24,12:00:00,Seattle
